"source_taxon_name","interaction_type","target_taxon_name","latitude","longitude","Area"
"Isaria farinosa","pathogenOf","Urochela luteovaria",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Rhodinia fugax",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Pterolophia caudata",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Pseudocneorhinus",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Pissodes",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Parocneria furva",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Paederus",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Helodes",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Copphinopoda chinensis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Cephalcia",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Callidiellum rufipennis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Aphrophora",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Acalolepta fraudatrix",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Tomicus piniperda",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Micromelalopha troglodyta",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Luprops",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Eumeta japonica",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Euconocephalus varius",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Echinocnemus squameus",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Batocera lineolata",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Diprion",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Spilosoma",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Cryptoblabes loxiella",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Euricania",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Geisha distinctissima",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Rondibilis saperdina",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Rondibilis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Quadricalcarifera punctatella",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Orosanga japonica",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Naranga aenescens",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Heptophylla picea",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Pyrrhalta",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Resseliella odai",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Scepticus griseus",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Epilachna",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Anomala",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Lemyra",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Scirpophaga incertulas",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Paranthrene",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Gastropacha orientalis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Curculio",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Blepharipa",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Xylotrechus chinensis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Semanotus japonicus",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Mimela",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Oncotympana maculaticollis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Lymantria dispar",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Malacosoma disstria",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Glyphodes pyloalis",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Dendrolimus",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Bombyx mandarina",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Zethenia rufescentaria",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Sogatella furcifera",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Sesamia inferens",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Pieris rapae",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Parnara guttata",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Nephotettix cincticeps",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Antheraea yamamai",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Anomala cuprea",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Mamestra brassicae",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Hyphantria cunea",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Bombyx mori",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Nilaparvata lugens",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Musca domestica",35.68536,139.75309,"Temperate Asia"
"Isaria farinosa","pathogenOf","Chlosyne lacinia",-10,-55,"Tropical South-America"
"Isaria farinosa","pathogenOf","Lagria",-10,-55,"Tropical South-America"
"Isaria farinosa","pathogenOf","Premnotrypes",4,-73.25,"Tropical South-America"
"Isaria farinosa","pathogenOf","Hypothenemus hampei",8,-5.5,"Tropical Africa"
"Isaria farinosa","pathogenOf","Hypothenemus hampei",8.66667,1.08333,"Tropical Africa"
"Isaria farinosa","pathogenOf","Scotinophora coarctata",2.5,112.5,"Tropical South Asia"
"Isaria farinosa","pathogenOf","Trialeurodes vaporariorum",2.5,112.5,"Tropical South Asia"
"Isaria farinosa","pathogenOf","Spodoptera",13,122,"Tropical South Asia"
"Isaria farinosa","pathogenOf","Rivula",13,122,"Tropical South Asia"
"Isaria farinosa","pathogenOf","Heteropsylla cubana",13,122,"Tropical South Asia"
"Isaria farinosa","pathogenOf","Anoplolepis gracilipes",-6,147,"Tropical South Asia"
